tokenizer,category,unit,n_tokens,single_token
gpt2,castling,O-O,3,False
gpt2,castling,O-O-O,5,False
gpt2,piece_letters,K,1,True
gpt2,piece_letters,Q,1,True
gpt2,piece_letters,R,1,True
gpt2,piece_letters,B,1,True
gpt2,piece_letters,N,1,True
gpt2,markers,x,1,True
gpt2,markers,+,1,True
gpt2,markers,#,1,True
gpt2,markers,=,1,True
gpt2,squares,a1,2,False
gpt2,squares,a2,2,False
gpt2,squares,a3,2,False
gpt2,squares,a4,2,False
gpt2,squares,a5,2,False
gpt2,squares,a6,2,False
gpt2,squares,a7,2,False
gpt2,squares,a8,2,False
gpt2,squares,b1,2,False
gpt2,squares,b2,2,False
gpt2,squares,b3,2,False
gpt2,squares,b4,2,False
gpt2,squares,b5,2,False
gpt2,squares,b6,2,False
gpt2,squares,b7,2,False
gpt2,squares,b8,2,False
gpt2,squares,c1,2,False
gpt2,squares,c2,2,False
gpt2,squares,c3,2,False
gpt2,squares,c4,2,False
gpt2,squares,c5,2,False
gpt2,squares,c6,2,False
gpt2,squares,c7,2,False
gpt2,squares,c8,2,False
gpt2,squares,d1,2,False
gpt2,squares,d2,2,False
gpt2,squares,d3,2,False
gpt2,squares,d4,2,False
gpt2,squares,d5,2,False
gpt2,squares,d6,2,False
gpt2,squares,d7,2,False
gpt2,squares,d8,2,False
gpt2,squares,e1,2,False
gpt2,squares,e2,2,False
gpt2,squares,e3,2,False
gpt2,squares,e4,2,False
gpt2,squares,e5,2,False
gpt2,squares,e6,2,False
gpt2,squares,e7,2,False
gpt2,squares,e8,2,False
gpt2,squares,f1,2,False
gpt2,squares,f2,2,False
gpt2,squares,f3,2,False
gpt2,squares,f4,2,False
gpt2,squares,f5,2,False
gpt2,squares,f6,2,False
gpt2,squares,f7,2,False
gpt2,squares,f8,2,False
gpt2,squares,g1,2,False
gpt2,squares,g2,2,False
gpt2,squares,g3,2,False
gpt2,squares,g4,2,False
gpt2,squares,g5,2,False
gpt2,squares,g6,2,False
